Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
SZ Cam,30320,150,28015,130,6.93,AllWISE,61.95538,62.33294,2.698422,no,1,J040749.28+621958.5,61.9553389,62.3329374,2.000,0.1482557628,1
WW Cam,8350,135,8240,135,10.09,AllWISE,67.85534,64.36264,2.27436322,BEAUTIFUL,3,J043125.28+642145.4,67.8553467,64.3626189,2.000,0.07969752819,1
ZZ UMa,5960,70,5270,90,9.83,AllWISE,157.5133,61.81151,2.29926,YES,3,J103003.22+614841.4,157.5134201,61.8115044,2.000,0.4328297531,1
WX Cep,8150,250,8900,250,9.0,AllWISE,337.81577,63.52265,3.378456,BEAUTIFUL,3,J223115.78+633121.5,337.8157861,63.5226474,2.000,0.05871091224,1
AH Cep,29900,1000,28600,1000,6.88,AllWISE,341.97058,65.06217,1.7747214,no,1,J224752.92+650343.8,341.9705133,65.0621695,2.000,0.2401267465,1
CW Cep,28300,1000,27700,1000,7.64,AllWISE,346.00928,63.39688,2.72914,no,1,J230402.19+632348.7,346.0091311,63.3968659,2.000,0.5384379808,1
YZ Cas,10200,300,7200,300,5.65,AllWISE,11.41282,74.98807,4.467222,no,1,J004539.06+745916.9,11.4127871,74.9880447,2.000,0.149410843,1
BF Dra,6360,150,6400,150,9.76,AllWISE,282.7473,69.88263,11.2109945,AWESOME!,3,J185059.38+695257.8,282.7474415,69.8827497,2.000,0.6672184098,1
UZ Dra,6200,100,6000,100,9.6,AllWISE,291.47937,68.93532,3.2613024,,,J192555.07+685607.4,291.4794642,68.9354142,2.000,0.4795881032,1
EK Cep,9000,200,5700,200,7.89,AllWISE,325.3396,69.69281,4.427796,,,J214121.54+694134.1,325.3397664,69.6928274,2.000,0.6023061439,1
VZ Cep,6670,160,5720,120,9.72,AllWISE,327.5464,71.44397,1.1833638,,,J215011.10+712638.0,327.5462659,71.4439155,2.000,0.5211061866,1
EY Cep,7090,150,6970,150,9.81,AllWISE,55.01697,81.01919,7.97148,,,J034004.14+810108.8,55.0172578,81.0191362,2.000,1.054027376,1
